10;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;../impgimport/woman-tshirt10.jpg;0;;0;0;0;0;0;0;0;0;0;0
11;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;./impgimport/woman-tshirt10.jpg;0;;0;0;0;0;0;0;0;0;0;0
12;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;/impgimport/woman-tshirt10.jpg;0;;0;0;0;0;0;0;0;0;0;0
13;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost:8080/imgimport/woman-dress10.jpg
14;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress10.jpg
15;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;localhost/imgimport/woman-dress10.jpg
16;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;localhost:8080/imgimport/woman-dress10.jpg
17;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;/home/aleksander/Pulpit/html/imgimport/woman-dress10.jpg
18;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;home/aleksander/Pulpit/html/imgimport/woman-dress10.jpg
19;1;TAMAR - T-shirt z nadrukiem - light grey heather;43,Kobiety;109.65;;;1;;;;;;;;Calvin Klein Jeans;;;;;;;;97;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;"../impgimport/woman-tshirt10.jpg";0;;0;0;0;0;0;0;0;0;0;0
