10;1;BASIC - Sukienka dzianinowa - sand;49,Kobiety;152.1;;;1;;%;;;;;edc by Esprit;;;;;;;;64;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress10.jpg;0;;0;0;0;0;0;0;0;0;0;0
11;1;CORE - Sukienka letnia - vintage grey heather;49,Kobiety;259.0;;;1;;;;;;;Converse;;;;;;;;84;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress11.jpg;0;;0;0;0;0;0;0;0;0;0;0
12;1;VMKIM - Sukienka letnia - black;49,Kobiety;189.0;;;1;;;;;;;;Vero Moda;;;;;;;;89;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress12.jpg;0;;0;0;0;0;0;0;0;0;0;0
13;1;SHEENA - Sukienka koktajlowa - berry;49,Kobiety;364.65;;;1;;;;;;;;Chi Chi London;;;;;;;;71;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress13.jpg;0;;0;0;0;0;0;0;0;0;0;0
14;1;BASIC - Sukienka dzianinowa - dark red;49,Kobiety;169.0;;;1;;.;;;;;edc by Esprit;;;;;;;;96;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-dress14.jpg;0;;0;0;0;0;0;0;0;0;0;0
15;1;CRACKED - Kurtka ze skóry ekologicznej - black;44,Kobiety;349.0;;;1;;;;;;;;Lost Ink;;;;;;;;41;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jackets15.jpg;0;;0;0;0;0;0;0;0;0;0;0
16;1;ORIGINAL TRUCKER - Kurtka jeansowa - throw elbows;44,Kobiety;319.2;;;1;;;;;;;;Levi's®;;;;;;;;77;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jackets16.jpg;0;;0;0;0;0;0;0;0;0;0;0
17;1;FRANKIE BORG FLYING - Kurtka zimowa - cream;44,Kobiety;359.0;;;1;;;;;;;;New Look;;;;;;;;45;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jackets17.jpg;0;;0;0;0;0;0;0;0;0;0;0
18;1;OJ BOLLA - Kurtka zimowa - silver;44,Kobiety;249.0;;;1;;=;;;;;Bik Bok;;;;;;;;74;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jackets18.jpg;0;;0;0;0;0;0;0;0;0;0;0
19;1;Kurtka przejściowa - burgundy;44,Kobiety;169.0;;;1;;;;;;;Dorothy Perkins;;;;;;;;71;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jackets19.jpg;0;;0;0;0;0;0;0;0;0;0;0
20;1;NMELLA SUPER - Jeans Skinny Fit - black;47,Kobiety;119.0;;;1;;;;;;;;Noisy May;;;;;;;;73;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jeans20.jpg;0;;0;0;0;0;0;0;0;0;0;0
21;1;VICE - Jeansy Slim fit - black;47,Kobiety;119.0;;;1;;;;;;;Missguided Petite;;;;;;;;49;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jeans21.jpg;0;;0;0;0;0;0;0;0;0;0;0
22;1;JAMIE NEW - Jeans Skinny Fit - black;47,Kobiety;229.0;;;1;;;;;;;;Topshop;;;;;;;;37;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jeans22.jpg;0;;0;0;0;0;0;0;0;0;0;0
23;1;710 INNOVATION SUPER SKINNY - Jeans Skinny Fit - darling blue;47,Kobiety;369.0;;;1;;&;;;;;Levi's®;;;;;;;;32;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jeans23.jpg;0;;0;0;0;0;0;0;0;0;0;0
24;1;DONNA - Jeansy Slim fit - friday;47,Kobiety;249.0;;;1;;;;;;;;Cheap Monday;;;;;;;;60;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jeans24.jpg;0;;0;0;0;0;0;0;0;0;0;0
25;1;Bluza z kapturem - black/white;46,Kobiety;169.0;;;1;;D;;;;;Nike Sportswear;;;;;;;;34;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jumpers25.jpg;0;;0;0;0;0;0;0;0;0;0;0
26;1;Sweter - light grey;46,Kobiety;139.0;;;1;;;;;;;;Benetton;;;;;;;;77;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jumpers26.jpg;0;;0;0;0;0;0;0;0;0;0;0
27;1;AOCELOT - Sweter - ecru;46,Kobiety;239.0;;;1;;;;;;;Derhy;;;;;;;;75;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jumpers27.jpg;0;;0;0;0;0;0;0;0;0;0;0
28;1;Bluza z kapturem - jet black;46,Kobiety;299.0;;;1;;;;;;;Levi's®;;;;;;;;23;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jumpers28.jpg;0;;0;0;0;0;0;0;0;0;0;0
29;1;AOCELOT - Sweter - noir;46,Kobiety;239.0;;;1;;;;;;;;Derhy;;;;;;;;29;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-jumpers29.jpg;0;;0;0;0;0;0;0;0;0;0;0
30;1;VIPEN NEW - Spódnica ołówkowa - black;50,Kobiety;149.0;;;1;;;;;;;;Vila;;;;;;;;32;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-skirt30.jpg;0;;0;0;0;0;0;0;0;0;0;0
31;1;Spódnica trapezowa - grey;50,Kobiety;167.2;;;1;;;;;;;;KIOMI;;;;;;;;56;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-skirt31.jpg;0;;0;0;0;0;0;0;0;0;0;0
32;1;VIPEN NEW - Spódnica ołówkowa - granite grey;50,Kobiety;149.0;;;1;;8;;;;;Vila;;;;;;;;34;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-skirt32.jpg;0;;0;0;0;0;0;0;0;0;0;0
33;1;OLYSS - Spódnica trapezowa - noir;50,Kobiety;151.2;;;1;;$;;;;;NAF NAF;;;;;;;;88;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-skirt33.jpg;0;;0;0;0;0;0;0;0;0;0;0
34;1;Spódnica ołówkowa - peacoat;50,Kobiety;69.0;;;1;;;;;;;;Zalando Essentials;;;;;;;;20;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-skirt34.jpg;0;;0;0;0;0;0;0;0;0;0;0
35;1;BOLD AGE 3STRIPES - Spodnie treningowe - black;48,Kobiety;279.0;;;1;;2;;;;;adidas Originals;;;;;;;;74;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-trousers35.jpg;0;;0;0;0;0;0;0;0;0;0;0
36;1;ONLNEW ROYAL - Spodnie materiałowe - black;48,Kobiety;189.0;;;1;;;;;;;;ONLY;;;;;;;;66;1;both;;;;;;;;;;;Produkt dostępny;;1;;;1;http://localhost/imgimport/woman-trousers36.jpg;0;;0;0;0;0;0;0;0;0;0;0
